date,us_date,confirmed,deaths,active,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level_2
28/06/2020,2020-06-28,7863,105,777,2379175,7863,6981,11,1,0,0,0,0,25459470,NA
29/06/2020,2020-06-29,7944,105,843,2415695,7944,6996,15,1,0,0,0,0,25459470,NA
30/06/2020,2020-06-30,8011,105,883,2455982,8011,7023,14,1,0,0,0,0,25459470,NA
1/07/2020,2020-07-01,8097,105,941,2505923,8097,7051,18,3,0,0,0,0,25459470,NA
2/07/2020,2020-07-02,8178,105,995,2563782,8178,7078,24,5,0,0,0,0,25459470,NA
3/07/2020,2020-07-03,8243,105,1022,2617860,8243,7116,27,7,0,0,0,0,25459470,NA
4/07/2020,2020-07-04,8349,105,1091,2668036,8349,7153,29,4,0,0,0,0,25459470,NA
5/07/2020,2020-07-05,8436,105,1134,2713435,8436,7197,30,4,0,0,0,0,25459470,NA
6/07/2020,2020-07-06,8573,107,1248,2759165,8573,7218,34,6,0,0,0,0,25459470,NA
7/07/2020,2020-07-07,8742,107,1382,2801107,8742,7253,39,10,0,0,0,0,25459470,NA
8/07/2020,2020-07-08,8872,107,1481,2856406,8872,7284,46,8,0,0,0,0,25459470,NA
9/07/2020,2020-07-09,9045,107,1566,2910831,9045,7372,45,10,0,0,0,0,25459470,NA
10/07/2020,2020-07-10,9345,107,1806,2970268,9345,7432,54,13,0,0,0,0,25459470,NA
11/07/2020,2020-07-11,9537,108,1910,3021493,9537,7519,55,16,0,0,0,0,25459470,NA
12/07/2020,2020-07-12,9781,109,2149,3075488,9781,7523,67,17,0,0,0,0,25459470,NA
13/07/2020,2020-07-13,9964,109,2291,3117788,9964,7564,92,18,0,0,0,0,25459470,NA
14/07/2020,2020-07-14,10235,111,2494,3162237,10235,7630,90,27,0,0,0,0,25459470,NA
15/07/2020,2020-07-15,10479,112,2644,3222141,10479,7723,111,28,0,0,0,0,25459470,NA
16/07/2020,2020-07-16,10794,114,2849,3287716,10794,7831,114,30,0,0,0,0,25459470,NA
17/07/2020,2020-07-17,11219,117,3190,3350464,11219,7912,127,32,22,0,0,0,25459470,NA
18/07/2020,2020-07-18,11423,120,3348,3413831,11423,7955,115,26,18,0,0,0,25459470,NA
19/07/2020,2020-07-19,11784,123,3595,3476463,11784,8066,135,29,18,0,0,0,25459470,NA
20/07/2020,2020-07-20,12052,124,3740,3534425,12052,8188,156,33,17,0,0,0,25459470,NA
21/07/2020,2020-07-21,12410,127,3947,3590735,12410,8336,182,38,23,0,0,0,25459470,NA
22/07/2020,2020-07-22,12878,129,4304,3650529,12878,8445,215,42,25,0,0,0,25459470,NA
23/07/2020,2020-07-23,13285,134,4587,3719837,13285,8564,211,41,25,0,0,0,25459470,NA
24/07/2020,2020-07-24,13574,141,4715,3795421,13574,8718,217,44,1,0,0,0,25459470,NA
25/07/2020,2020-07-25,13927,146,4977,3859505,13927,8804,239,46,1,0,0,0,25459470,NA
26/07/2020,2020-07-26,14380,156,5267,3935124,14380,8957,241,46,22,0,0,0,25459470,NA
27/07/2020,2020-07-27,14912,162,5652,3987090,14912,9098,259,49,24,0,0,0,25459470,NA
28/07/2020,2020-07-28,15281,168,5895,4032061,15281,9218,275,47,24,0,0,0,25459470,NA
29/07/2020,2020-07-29,15560,177,5976,4098249,15560,9407,323,46,1,0,0,0,25459470,NA
30/07/2020,2020-07-30,16277,190,6546,4163102,16277,9541,330,40,1,0,0,0,25459470,NA
31/07/2020,2020-07-31,16880,198,6917,4238305,16880,9765,367,44,27,0,0,0,25459470,NA
1/08/2020,2020-08-01,17254,202,7070,4307224,17254,9982,401,50,28,0,0,0,25459470,NA
2/08/2020,2020-08-02,17895,209,7480,4364382,17895,10206,408,46,30,0,0,0,25459470,NA
3/08/2020,2020-08-03,18290,222,7665,4429911,18290,10403,439,43,31,0,0,0,25459470,NA
