Column1,iso_code,Latitude,Longitude,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
74840,MRT,20,-12,Africa,Mauritania,25/09/2021 0:00,35819,42,62.714,768,0,0.429,7501.188,8.796,13.134,160.834,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4775110,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.546,NA,NA,NA
75914,MUS,-20.2833,57.55,Africa,Mauritius,25/09/2021 0:00,15161,0,131.143,71,0,3,11905.659,0,102.984,55.755,0,2.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA
76371,MWI,-13.5,34,Africa,Malawi,25/09/2021 0:00,61497,22,22.857,2275,3,2.714,3129.988,1.12,1.163,115.79,0.153,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,NA,NA,NA
76621,MYS,2.5,112.5,Asia,Malaysia,25/09/2021 0:00,2185131,13899,14607.857,25159,228,298.857,66668.233,424.058,445.685,767.6,6.956,9.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,42106397,22717042,19481412,NA,259141,278632,128.47,69.31,59.44,NA,8501,NA,32776195,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,NA,NA,NA
77205,NAM,-22,17,Africa,Namibia,25/09/2021 0:00,127227,156,74.143,3492,4,3.714,49172.82,60.293,28.656,1349.647,1.546,1.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.646,NA,NA,NA
78019,NER,16,8,Africa,Niger,25/09/2021 0:00,5974,0,3.286,201,0,0,237.716,0,0.131,7.998,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25130810,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,NA,NA,NA
78989,NGA,10,8,Africa,Nigeria,25/09/2021 0:00,204201,210,367.286,2673,2,2.714,965.943,0.993,1.737,12.644,0.009,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211400704,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,0.539,NA,NA,NA
79588,NIC,13,-85,North America,Nicaragua,25/09/2021 0:00,13730,0,100.714,203,0,0.143,2048.526,0,15.027,30.288,0,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,788502,502324,286178,NA,NA,2425,11.76,7.49,4.27,NA,362,NA,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,74.48,0.66,NA,NA,NA
79841,NLD,52.5,5.75,Europe,Netherlands,25/09/2021 0:00,2032868,1686,1760.714,18555,9,7.571,118375.175,98.177,102.527,1080.469,0.524,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,22272373,12116976,10962160,NA,NA,8014,129.69,70.56,63.83,NA,467,NA,17173094,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,NA,NA,NA
80363,NOR,62,10,Europe,Norway,25/09/2021 0:00,186554,519,684.143,850,0,1.286,34132.211,94.957,125.172,155.517,0,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA,NA,NA
